canton	area	inhabitants	foreigners	yes
AG	1404	627893	23	55.2
AR	243	53438	14.6	54.4
AI	173	15789	9.9	63.5
BL	518	276537	20.1	50.6
BS	37	194661	34.4	39
BE	5959	992617	13.8	51.1
FR	1671	291395	20.6	48.5
GE	282	476024	37.2	39.1
GL	685	39369	21.8	59.4
GR	7105	193920	17.3	50.6
JU	838	70942	13.1	44.1
LU	1493	386082	16.8	53.3
NE	803	174554	24.6	39.3
NW	276	41584	12.6	58.8
OW	491	36115	13.6	59.1
SH	298	77955	24.4	58.1
SZ	908	149830	19.3	63.1
SO	791	259283	20	54.6
SG	2026	487060	22.6	55.9
TI	2812	341652	27.4	68.2
TG	991	256213	23.1	57.8
UR	1077	35693	10.7	58.2
VD	3212	729971	32.1	38.9
VS	5224	321732	22	48.3
ZG	239	116575	25.6	49.9
ZH	1729	1408575	25	47.3
